zip,area_name,rent_0br,rent_1br,rent_2br,rent_3br,rent_4br
32003,"Jacksonville, FL HUD Metro FMR Area",1890,1920,2310,2850,3570
32004,"Jacksonville, FL HUD Metro FMR Area",1660,1690,2030,2500,3140
32006,"Jacksonville, FL HUD Metro FMR Area",1410,1430,1720,2120,2660
32007,"Putnam County, FL",880,880,1160,1460,1540
32008,"Gainesville, FL HUD Metro FMR Area",1060,1180,1430,1820,1890
32009,"Jacksonville, FL HUD Metro FMR Area",950,1000,1190,1490,1890
32011,"Jacksonville, FL HUD Metro FMR Area",960,980,1180,1450,1820
32013,"Lafayette County, FL",1140,1170,1310,1570,1730
32024,"Columbia County, FL",1140,1190,1500,1810,1990
32025,"Columbia County, FL",1020,1070,1360,1630,1800
32026,"Bradford County, FL",1020,1040,1240,1570,1890
32033,"Jacksonville, FL HUD Metro FMR Area",1670,1710,2050,2530,3170
32034,"Jacksonville, FL HUD Metro FMR Area",1230,1250,1500,1850,2320
32035,"Jacksonville, FL HUD Metro FMR Area",1230,1260,1510,1860,2330
32038,"Columbia County, FL",950,1000,1270,1520,1680
32040,"Baker County, FL HUD Metro FMR Area",920,940,1130,1550,1820
32041,"Jacksonville, FL HUD Metro FMR Area",1230,1260,1510,1860,2330
32042,"Bradford County, FL",980,1020,1120,1430,1880
32043,"Jacksonville, FL HUD Metro FMR Area",1330,1360,1630,2010,2520
32044,"Gainesville, FL HUD Metro FMR Area",1270,1330,1460,1870,2430
32046,"Jacksonville, FL HUD Metro FMR Area",880,930,1100,1380,1740
32050,"Jacksonville, FL HUD Metro FMR Area",1410,1430,1720,2120,2660
32052,"Hamilton County, FL",870,890,1000,1320,1320
32053,"Hamilton County, FL",880,900,1010,1330,1340
32054,"Bradford County, FL",800,810,1060,1330,1420
32055,"Columbia County, FL",930,970,1240,1490,1640
32056,"Columbia County, FL",990,1040,1320,1580,1750
32058,"Jacksonville, FL HUD Metro FMR Area",1070,1120,1230,1570,2060
32059,"Madison County, FL",860,950,1070,1380,1520
32060,"Suwannee County, FL",910,950,1040,1390,1470
32061,"Columbia County, FL",930,970,1240,1510,1650
32062,"Suwannee County, FL",950,990,1100,1460,1550
32063,"Baker County, FL HUD Metro FMR Area",1040,1060,1270,1740,1970
32064,"Suwannee County, FL",1010,1060,1160,1550,1640
32065,"Jacksonville, FL HUD Metro FMR Area",1580,1610,1930,2380,2980
32066,"Lafayette County, FL",1140,1170,1310,1570,1730
32067,"Jacksonville, FL HUD Metro FMR Area",1410,1430,1720,2120,2660
32068,"Jacksonville, FL HUD Metro FMR Area",1360,1390,1670,2060,2580
32071,"Suwannee County, FL",1030,1070,1240,1540,1670
32072,"Baker County, FL HUD Metro FMR Area",850,870,1070,1400,1710
32073,"Jacksonville, FL HUD Metro FMR Area",1340,1370,1640,2020,2530
32079,"Jacksonville, FL HUD Metro FMR Area",1630,1690,2010,2520,3180
32080,"Palm Coast, FL HUD Metro FMR Area",1550,1580,1900,2340,2940
32081,"Jacksonville, FL HUD Metro FMR Area",1870,1970,2340,2930,3710
32082,"Jacksonville, FL HUD Metro FMR Area",1810,1840,2210,2720,3410
32083,"Bradford County, FL",1070,1090,1350,1710,1940
32084,"Jacksonville, FL HUD Metro FMR Area",1350,1370,1650,2030,2550
32085,"Jacksonville, FL HUD Metro FMR Area",1660,1690,2030,2500,3140
32086,"Palm Coast, FL HUD Metro FMR Area",1470,1500,1800,2220,2780
32087,"Baker County, FL HUD Metro FMR Area",820,860,1020,1380,1710
32091,"Jacksonville, FL HUD Metro FMR Area",940,980,1080,1380,1810
